puisi,title,author,puisi_with_header
"Mata bak sebongkah emas 
 Hidung halus seluncur salju 
 Bibir seindah kembang mawar 
 Rambut bak ombak mendayung 
 Senyummu terlukis dipikiranku 
 Wajah lugumu kian merona 
 Dijadikan badut lucu 
 Di waktu kala itu 
 Semilir angin menari-nari 
 Pepohonan berlenggak-lenggok 
 Menikmati langkahmu 
 Meninggalkan jejak kenangan 
 Kini telah menjadi cerita 
 Segala canda tawa 
 Di sela kesibukanku 
 Kau menjadi wadah perasaanku Menampung curahan hatiku Tak pernah bosan kau dengar Keluh kesah yang kuutarakan Setiap saat ku mengadu 
 Kaulah yang teristimewa... 
 Wadah curahanku kini menjadi cerita 
 akankah kita berjumpa lagi ? 
  
 ",DIA...,Oleh Yuan,"DIA... 
 Oleh Yuan 
 Mata bak sebongkah emas 
 Hidung halus seluncur salju 
 Bibir seindah kembang mawar 
 Rambut bak ombak mendayung 
 Senyummu terlukis dipikiranku 
 Wajah lugumu kian merona 
 Dijadikan badut lucu 
 Di waktu kala itu 
 Semilir angin menari-nari 
 Pepohonan berlenggak-lenggok 
 Menikmati langkahmu 
 Meninggalkan jejak kenangan 
 Kini telah menjadi cerita 
 Segala canda tawa 
 Di sela kesibukanku 
 Kau menjadi wadah perasaanku Menampung curahan hatiku Tak pernah bosan kau dengar Keluh kesah yang kuutarakan Setiap saat ku mengadu 
 Kaulah yang teristimewa... 
 Wadah curahanku kini menjadi cerita 
 akankah kita berjumpa lagi ? 
  
 "
"Ketika Malam Datang 
 keheningan Menjemput Kelam, 
 Lantunan Melody Cinta pun Melengkapi semua. 
 Terdiam aku sejenak, 
 Terhimpit penak Dadaku, 
 Pedas mataku terurai bergelimang lara 
 lara yang tak pernah berhenti menghantam jiwaku. 
 Masa itu memang sudah berlalu 
 tapi kenangan itu masih bersembahyang di pikiranku, 
 Meski Kini Kau telah mencinta, 
 Tapi aku masih terdiam 
 dan Tak tau mengapa? 
 aku tak pernah mengerti 
 yang jelas kau khianati cinta ini 
 dan bersama dia 
 hingga Akhir nya aku yang harus menanggung semua 
 lara ini 
 sakit ini adalah titipan terakhir darimu 
 atas semua yang kisah cinta kita dulu. 
  
 ",MASIH TENTANG DIRIMU,Oleh Dewi Citrawati,"MASIH TENTANG DIRIMU 
 Oleh Dewi Citrawati 
 Ketika Malam Datang 
 keheningan Menjemput Kelam, 
 Lantunan Melody Cinta pun Melengkapi semua. 
 Terdiam aku sejenak, 
 Terhimpit penak Dadaku, 
 Pedas mataku terurai bergelimang lara 
 lara yang tak pernah berhenti menghantam jiwaku. 
 Masa itu memang sudah berlalu 
 tapi kenangan itu masih bersembahyang di pikiranku, 
 Meski Kini Kau telah mencinta, 
 Tapi aku masih terdiam 
 dan Tak tau mengapa? 
 aku tak pernah mengerti 
 yang jelas kau khianati cinta ini 
 dan bersama dia 
 hingga Akhir nya aku yang harus menanggung semua 
 lara ini 
 sakit ini adalah titipan terakhir darimu 
 atas semua yang kisah cinta kita dulu. 
  
 "
"Kau telah pergi jauh dari ku, 
 Melupakan semua cintaku, 
 Meninggalkan ku bersama kelukaan, 
 Luka mendalam di dalam hati. 
  
 Ku tau semua cintamu telah hilang, 
 Ku tau betapa sakit rasa hati ini, 
 Namun mengapa ku tak bisa melupan mu, 
 Kau tak pernah hilang dalam setiap ingatku, 
 Selalu hadir di kala aku terlelap bersama mimpi, 
 Menemani ku dalam mimpi indah. 
  
 Mungkinkah ini bukti rasa ketulusan hati ku, 
 Mungkinkah ini rasa cinta meski tak ku rasakan, 
 Sehingga kau tak pernah hilang dari setiap lelapku, 
 Terlelap dalam gelap di malam tiba. 
  
 cipt : Aris ""Mr. 
 Puitis"" 
  
 #inilah_yg_ku_rasakan_di_setiap_waktuTAK PERNAH HILANG 
  
 ",TAK PERNAH HILANG,Oleh Krisik Aris,"TAK PERNAH HILANG 
 Oleh Krisik Aris 
  
 Kau telah pergi jauh dari ku, 
 Melupakan semua cintaku, 
 Meninggalkan ku bersama kelukaan, 
 Luka mendalam di dalam hati. 
  
 Ku tau semua cintamu telah hilang, 
 Ku tau betapa sakit rasa hati ini, 
 Namun mengapa ku tak bisa melupan mu, 
 Kau tak pernah hilang dalam setiap ingatku, 
 Selalu hadir di kala aku terlelap bersama mimpi, 
 Menemani ku dalam mimpi indah. 
  
 Mungkinkah ini bukti rasa ketulusan hati ku, 
 Mungkinkah ini rasa cinta meski tak ku rasakan, 
 Sehingga kau tak pernah hilang dari setiap lelapku, 
 Terlelap dalam gelap di malam tiba. 
  
 cipt : Aris ""Mr. 
 Puitis"" 
  
 #inilah_yg_ku_rasakan_di_setiap_waktuTAK PERNAH HILANG 
  
 "
"Bagai terhanyut dalam pusaran waktu 
 Aku terbawa menuju dasar hatimu 
 Tergeletak sendiri dan terabaikan 
 Tak sedikitpun kau acuhkan 
  
 Aku terluka 
 Tapi kucoba bangkit meski tertatih 
 Jatuh berulang kali pun kau tak peduli 
 Hingga akhirnya aku bisa tegak berdiri 
  
 Berlari tuk menuju pintu terakhir 
 Pintu keluar dari bekunya hati 
 Aku telah menduga 
 Kau takkan melarangku pergi 
  
 Tak ada alasan juga untukku tetap tinggal 
 Sementara rasa ini hanya rasaku 
 Rasamu telah sirna 
 Hilang bersama egomu 
 Atau bahkan telah tertambat pada hati yang lain 
  
 Aku tak tau 
 Sudah cukup semua derita 
 Luka yang kau toreh teramat parah 
 Berulang kali kau lakukan 
 Aku menyerah 
  
 ",AKU MENYERAH,Oleh Ardian Putri,"AKU MENYERAH 
 Oleh Ardian Putri 
  
 Bagai terhanyut dalam pusaran waktu 
 Aku terbawa menuju dasar hatimu 
 Tergeletak sendiri dan terabaikan 
 Tak sedikitpun kau acuhkan 
  
 Aku terluka 
 Tapi kucoba bangkit meski tertatih 
 Jatuh berulang kali pun kau tak peduli 
 Hingga akhirnya aku bisa tegak berdiri 
  
 Berlari tuk menuju pintu terakhir 
 Pintu keluar dari bekunya hati 
 Aku telah menduga 
 Kau takkan melarangku pergi 
  
 Tak ada alasan juga untukku tetap tinggal 
 Sementara rasa ini hanya rasaku 
 Rasamu telah sirna 
 Hilang bersama egomu 
 Atau bahkan telah tertambat pada hati yang lain 
  
 Aku tak tau 
 Sudah cukup semua derita 
 Luka yang kau toreh teramat parah 
 Berulang kali kau lakukan 
 Aku menyerah 
  
 "
"(Untuk puteraku, Isaias Sadewa) 
  
 Ketika maut mencegatnya di delapan penjuru. 
 Sang ksatria berdiri dengan mata bercahaya. 
 Hatinya damai, 
 di dalam dadanya yang bedah dan berdarah, 
 karena ia telah lunas 
 menjalani kewjiban dan kewajarannya. 
  
 Setelah ia wafat 
 apakah petani-petani akan tetap menderita, 
 dan para wanita kampung 
 tetap membanjiri rumah pelacuran di kota ? 
 Itulah pertanyaan untuk kita yang hidup. 
 Tetapi bukan itu yang terlintas di kepalanya 
 ketika ia tegak dengan tubuh yang penuh luka-luka. 
 Saat itu ia mendengar 
 nyanyian angin dan air yang turun dari gunung. 
  
 Perjuangan adalah satu pelaksanaan cita dan rasa. 
 Perjuangan adalah pelunasan kesimpulan penghayatan. 
 Di saat badan berlumur darah, 
 jiwa duduk di atas teratai. 
  
 Ketika ibu-ibu meratap 
 dan mengurap rambut mereka dengan debu, 
 roh ksatria bersetubuh dengan cakrawala 
 untuk menanam benih 
 agar nanti terlahir para pembela rakyat tertindas 
 - dari zaman ke zaman 
  
 Jakarta, 2 Sptember 1977 
 Potret Pembangunan dalam Puisi 
  
 ",SAJAK PEPERANGAN ABIMANYU,Oleh W.S. Rendra,"SAJAK PEPERANGAN ABIMANYU 
 (Untuk puteraku, Isaias Sadewa) 
 Oleh W.S. Rendra 
  
 Ketika maut mencegatnya di delapan penjuru. 
 Sang ksatria berdiri dengan mata bercahaya. 
 Hatinya damai, 
 di dalam dadanya yang bedah dan berdarah, 
 karena ia telah lunas 
 menjalani kewjiban dan kewajarannya. 
  
 Setelah ia wafat 
 apakah petani-petani akan tetap menderita, 
 dan para wanita kampung 
 tetap membanjiri rumah pelacuran di kota ? 
 Itulah pertanyaan untuk kita yang hidup. 
 Tetapi bukan itu yang terlintas di kepalanya 
 ketika ia tegak dengan tubuh yang penuh luka-luka. 
 Saat itu ia mendengar 
 nyanyian angin dan air yang turun dari gunung. 
  
 Perjuangan adalah satu pelaksanaan cita dan rasa. 
 Perjuangan adalah pelunasan kesimpulan penghayatan. 
 Di saat badan berlumur darah, 
 jiwa duduk di atas teratai. 
  
 Ketika ibu-ibu meratap 
 dan mengurap rambut mereka dengan debu, 
 roh ksatria bersetubuh dengan cakrawala 
 untuk menanam benih 
 agar nanti terlahir para pembela rakyat tertindas 
 - dari zaman ke zaman 
  
 Jakarta, 2 Sptember 1977 
 Potret Pembangunan dalam Puisi 
  
 "
"Ku berlari kencang 
 Lelah kakiku 
 Terus berlari 
 Menghindari orang-orang 
  
 Orang tuaku 
 Mengusir ku karena malu 
 Karena 
 Aku selalu merampok 
  
 Hari demi hari 
 Ku jalanih 
 Demi menempuh hidup 
 Dengan cara yang tidak baik 
  
 Ku tau 
 Ini adalah salah 
 Tapi, apa boleh buat 
 Aku adalah anak orang miskin 
  
 Aku melakukan ini 
 Demi hidupku 
 Agar kembali sekolah 
 Inilah aku 
  
 Lambat laun 
 Aku tertekan 
 Karena banyak orang yang mencariku 
 Aku mengerti 
  
 Aku tidak ingin menjadi perampok lagi 
 Tidak apa-apa aku miskin 
 Asal halal yang ku kerjakan 
 Aku menyesal 
  
 Kini 
 Aku berdiri 
 Untuk memulai hidupku yang baru 
 Aku akan berusaha melakukan yang terbaik 
  
 ",BERUBAH MENJADI LEBIH BAIK,Oleh Jihan Sajidah,"BERUBAH MENJADI LEBIH BAIK 
 Oleh Jihan Sajidah 
  
 Ku berlari kencang 
 Lelah kakiku 
 Terus berlari 
 Menghindari orang-orang 
  
 Orang tuaku 
 Mengusir ku karena malu 
 Karena 
 Aku selalu merampok 
  
 Hari demi hari 
 Ku jalanih 
 Demi menempuh hidup 
 Dengan cara yang tidak baik 
  
 Ku tau 
 Ini adalah salah 
 Tapi, apa boleh buat 
 Aku adalah anak orang miskin 
  
 Aku melakukan ini 
 Demi hidupku 
 Agar kembali sekolah 
 Inilah aku 
  
 Lambat laun 
 Aku tertekan 
 Karena banyak orang yang mencariku 
 Aku mengerti 
  
 Aku tidak ingin menjadi perampok lagi 
 Tidak apa-apa aku miskin 
 Asal halal yang ku kerjakan 
 Aku menyesal 
  
 Kini 
 Aku berdiri 
 Untuk memulai hidupku yang baru 
 Aku akan berusaha melakukan yang terbaik 
  
 "
"Percayalah, 
 aku takan mungkin sanggup tuk melupakanmu,,,percayalah,, 
 aku takan mungkin menghilangkan semua knangan indah yg kau berikan padaku,,, 
 Percayalah,, 
 bukan maksudku tuk melukai hatimu itu,,,percayalah,, 
 bahwa aku kan selalu mencintaimu selamanya,, 
 Walaupun engkau bukanlah kekasihku, 
 walaupun kita kan terpisahkan oleh ruang dan waktu, 
 walaupun kita kan memiliki kehidupan kita masing-masing, 
 walaupun usia senja telah mengahmipiri kita,,,, 
 Namun kenangan kita bersama,, 
 takan pernah pudar dalam sebuah kenangan indah,, 
 takan pernah terlupakan dan terus terjaga dalam pikiran kita,, 
 dan takan pernah terhapus oleh waktu yg terus berjalan,,, 
 Karna 
 kisah kita kan menjadi sejarah di dalam kehidupan kita,,, 
 untuk berbagi dengan keluarga kita,,, 
 dengan anak-anak kita,, 
 bahkan dengan cucu-cucu kita kelak,,, 
 Percayalah 
 ikatan persahabatan kita kan tetap kekal tuk slamanya,,,percayalah,,percayalah,,,percayalah,,, 
 terimaksih sahabat 
 atas semua yang telah kau berikan terhadapku,, 
 terimakasih atas semu kenangan yg telah kau berikan,,,, 
 Terimakasih sahabat terbaikku,,,, 
  
 ",PERCAYALAH,Oleh Zhan,"PERCAYALAH 
 Oleh Zhan 
  
 Percayalah, 
 aku takan mungkin sanggup tuk melupakanmu,,,percayalah,, 
 aku takan mungkin menghilangkan semua knangan indah yg kau berikan padaku,,, 
 Percayalah,, 
 bukan maksudku tuk melukai hatimu itu,,,percayalah,, 
 bahwa aku kan selalu mencintaimu selamanya,, 
 Walaupun engkau bukanlah kekasihku, 
 walaupun kita kan terpisahkan oleh ruang dan waktu, 
 walaupun kita kan memiliki kehidupan kita masing-masing, 
 walaupun usia senja telah mengahmipiri kita,,,, 
 Namun kenangan kita bersama,, 
 takan pernah pudar dalam sebuah kenangan indah,, 
 takan pernah terlupakan dan terus terjaga dalam pikiran kita,, 
 dan takan pernah terhapus oleh waktu yg terus berjalan,,, 
 Karna 
 kisah kita kan menjadi sejarah di dalam kehidupan kita,,, 
 untuk berbagi dengan keluarga kita,,, 
 dengan anak-anak kita,, 
 bahkan dengan cucu-cucu kita kelak,,, 
 Percayalah 
 ikatan persahabatan kita kan tetap kekal tuk slamanya,,,percayalah,,percayalah,,,percayalah,,, 
 terimaksih sahabat 
 atas semua yang telah kau berikan terhadapku,, 
 terimakasih atas semu kenangan yg telah kau berikan,,,, 
 Terimakasih sahabat terbaikku,,,, 
  
 "
"Enisaraswati 
  
 Esok mau aku pingin ngucapne... 
 Tahun baru hijriah.. 
 marang panjenengan kang mas.. 
 Ora nyono ora ngimpi... 
 Naliko arep dak kirim.. 
 jariku salah pencet 
 Opo iki sing diarani. 
 nasip lagi apes 
 Layang suworo teko panjenengan 
 Ilang kabeh.... 
 Yen panjenengan takon... 
 Opo rasane atiku.. 
 naliko layang suara ilang... 
 Aku getun.. 
 ananging mung sithik.. 
 Kahanan iki sing ngawe aku nyimpen 
 Sewu pitakon sing dhak jawab dewe 
 Ora ono sing kebeneran... 
 Kabeh kuwi kasane... 
 Sang Gusti 
 Awake dewe iki mung wayang.. 
 kang mas... 
 Opo jare dalang.. 
 obah ngiwo opo obah nengen 
 Crito ono pambukane.. 
 ono ugo pamukasane 
 Tak jalok marang panjenengan.. 
 ayo di tompo kanti nglegowo 
  
 ",LAYANG SUWORO,,"LAYANG SUWORO 
 Enisaraswati 
  
 Esok mau aku pingin ngucapne... 
 Tahun baru hijriah.. 
 marang panjenengan kang mas.. 
 Ora nyono ora ngimpi... 
 Naliko arep dak kirim.. 
 jariku salah pencet 
 Opo iki sing diarani. 
 nasip lagi apes 
 Layang suworo teko panjenengan 
 Ilang kabeh.... 
 Yen panjenengan takon... 
 Opo rasane atiku.. 
 naliko layang suara ilang... 
 Aku getun.. 
 ananging mung sithik.. 
 Kahanan iki sing ngawe aku nyimpen 
 Sewu pitakon sing dhak jawab dewe 
 Ora ono sing kebeneran... 
 Kabeh kuwi kasane... 
 Sang Gusti 
 Awake dewe iki mung wayang.. 
 kang mas... 
 Opo jare dalang.. 
 obah ngiwo opo obah nengen 
 Crito ono pambukane.. 
 ono ugo pamukasane 
 Tak jalok marang panjenengan.. 
 ayo di tompo kanti nglegowo 
  
 "
"Menyusuri lorong-lorong 
 Teringat akan suatu kenangan 
 Berbulir air mata jatuh tak terasa 
 Seakan mata ini tahu akan rasa 
 Hati ini begitu sakit mengingatnya 
 Langkah kakiku terhenti tiba-tiba 
 Kaki ini kini ragu untuk memulai 
 Begitupun dengan jemari kecil 
 Berhenti untuk menuai kata 
 Terdengar suara resah mereka 
 Letih rasanya diriku terpojok lemah 
 Tak percaya lagi akan suatu mimpi indah 
 Mereka berteriak ayo percayalah pada mimpimu 
 Hati ini seakan tergugah pada teriakan mereka 
 Jemari ini mulai bergerak perlahan 
 Langkah ini mulai tegak tuk berjalan 
 Kini ku percaya pada mimpi-mimpi itu 
 Mimpi yang akan membawaku terus melaju 
 Mimpi yang dapat membuat mereka terharu 
 Terimakasih TUHAN atas berkahmu 
 Akan ku kenang mereka selalu 
  
 ",BANGKIT,Oleh FAW,"BANGKIT 
 Oleh FAW 
  
 Menyusuri lorong-lorong 
 Teringat akan suatu kenangan 
 Berbulir air mata jatuh tak terasa 
 Seakan mata ini tahu akan rasa 
 Hati ini begitu sakit mengingatnya 
 Langkah kakiku terhenti tiba-tiba 
 Kaki ini kini ragu untuk memulai 
 Begitupun dengan jemari kecil 
 Berhenti untuk menuai kata 
 Terdengar suara resah mereka 
 Letih rasanya diriku terpojok lemah 
 Tak percaya lagi akan suatu mimpi indah 
 Mereka berteriak ayo percayalah pada mimpimu 
 Hati ini seakan tergugah pada teriakan mereka 
 Jemari ini mulai bergerak perlahan 
 Langkah ini mulai tegak tuk berjalan 
 Kini ku percaya pada mimpi-mimpi itu 
 Mimpi yang akan membawaku terus melaju 
 Mimpi yang dapat membuat mereka terharu 
 Terimakasih TUHAN atas berkahmu 
 Akan ku kenang mereka selalu 
  
 "
"Hidup.. 
 Adalah skenario ilahi 
 Adalah Tentang Harapan dan impian 
 Tentang suka dan duka 
 Hidup  adalah jalan untuk berpikir 
 Hidup juga tentang 2 raga yang akan/pasti menyatu 
 Untuk itu.. 
 Cobalah berfikir untuk hidup 
 Hidup tanpa beban yang berlebihan 
 Tanpa masalah yang menakutkan 
 Karena kitalah yang menentukan jalan hidup 
  
 ",DESKRIPSI HIDUP,Oleh Taniianeo,"DESKRIPSI HIDUP 
 Oleh Taniianeo 
  
 Hidup.. 
 Adalah skenario ilahi 
 Adalah Tentang Harapan dan impian 
 Tentang suka dan duka 
 Hidup  adalah jalan untuk berpikir 
 Hidup juga tentang 2 raga yang akan/pasti menyatu 
 Untuk itu.. 
 Cobalah berfikir untuk hidup 
 Hidup tanpa beban yang berlebihan 
 Tanpa masalah yang menakutkan 
 Karena kitalah yang menentukan jalan hidup 
  
 "
"Di kala rembulan membuka mata dengan sinar warna keindahankilaumu adalah sinar suci Tuhanyang membawa jauh pada harapan anak-anak desa 
 Di tengah sawah yang gemilangterselip sebuah keheningan yang menjadi tabir dalam perjuangansesekali air hujan akan datang membasahi pertiwidan riang akan menutup jendela duka dan lara 
 Anak-anak desa akan datang membawa bumbu perjuanganmeraih angan dan mimpiditemani riak air sungai yang jernihdi kala malam 
 di kala sunyi 
 di kala gelapanak desa akan membawa ketenangan 
 membawa kesejukan 
 membawa keheningan 
 dan membawa kebahagiaan 
 Tuhan yang hadir akan mengabulkan mimpi anak desamengubah jalan yang terjal menjadi landaimengobati rasa sakit yang mendera menjadi kesembuhanmenyucikan segala laku dan khayalanmerubah raga yang remuk menjadi kekarmenghapus gundah gulanamenjebak kesialan dalam kerangkeng langitdan memusnahkan batu cadas yang kokoh yang menghalangi jalan 
 Percayalah pada mimpiseorang anak desa yang bermimpiyang membangun jembatan khayalyang menggali lubang mimpiyang menaburkan benih perjuanganpercayalah pada mimpi 
 Angin mengantarkanmuangin menjemputmuangin menggugahmuangin menggodamuangin menemanimuangin membawamu pada perjuangan anak desa 
  
 ",ANAK DESA,Oleh I Putu Supartika,"ANAK DESA 
 Oleh I Putu Supartika 
  
 Di kala rembulan membuka mata dengan sinar warna keindahankilaumu adalah sinar suci Tuhanyang membawa jauh pada harapan anak-anak desa 
 Di tengah sawah yang gemilangterselip sebuah keheningan yang menjadi tabir dalam perjuangansesekali air hujan akan datang membasahi pertiwidan riang akan menutup jendela duka dan lara 
 Anak-anak desa akan datang membawa bumbu perjuanganmeraih angan dan mimpiditemani riak air sungai yang jernihdi kala malam 
 di kala sunyi 
 di kala gelapanak desa akan membawa ketenangan 
 membawa kesejukan 
 membawa keheningan 
 dan membawa kebahagiaan 
 Tuhan yang hadir akan mengabulkan mimpi anak desamengubah jalan yang terjal menjadi landaimengobati rasa sakit yang mendera menjadi kesembuhanmenyucikan segala laku dan khayalanmerubah raga yang remuk menjadi kekarmenghapus gundah gulanamenjebak kesialan dalam kerangkeng langitdan memusnahkan batu cadas yang kokoh yang menghalangi jalan 
 Percayalah pada mimpiseorang anak desa yang bermimpiyang membangun jembatan khayalyang menggali lubang mimpiyang menaburkan benih perjuanganpercayalah pada mimpi 
 Angin mengantarkanmuangin menjemputmuangin menggugahmuangin menggodamuangin menemanimuangin membawamu pada perjuangan anak desa 
  
 "
"Bagaimana mungkin 
 Aku dan kamu 
 Saling mengucap selamat tinggal 
 Sementara beberapa sore 
 Sudah kita lewati dengan berbagi dekapan 
 Saling menautkan 
 Ujung jari satu dengan yang lainnya 
 Membentuk simpul kemesraan–Beritahu caranya 
 Apakah mungkin 
 Aku dan kamu 
 Saling melepas diri 
 Dan menjalani sisa waktuSementara 
 Satu kata 
 Satu tatapan 
 Satu kecupan 
 Uapnya masih begitu hangat di dada–Imanku berkata 
 Bahwa setiap manusiamemiliki buku kehidupannya sendiriyang menoreh episode per episodenya–Di waktu yang kupanggil setengah malam 
 Ingin ku lontarkan tanya 
 Apakah perpisahan juga memiliki bukunya sendiri ? 
 Atau setidaknya sebuah catatan kaki 
 Yang menegaskan 
 Kau dan aku 
 Harus saling melepaskan diri 
 Saling mengucapkan selamat tinggal 
 Kemudian diakhiri saling melupakan–Kaudan 
 Aku 
  
 ","EPILOG, MANA MUNGKIN",Oleh Novi Octora,"EPILOG, MANA MUNGKIN 
 Oleh Novi Octora 
  
 Bagaimana mungkin 
 Aku dan kamu 
 Saling mengucap selamat tinggal 
 Sementara beberapa sore 
 Sudah kita lewati dengan berbagi dekapan 
 Saling menautkan 
 Ujung jari satu dengan yang lainnya 
 Membentuk simpul kemesraan–Beritahu caranya 
 Apakah mungkin 
 Aku dan kamu 
 Saling melepas diri 
 Dan menjalani sisa waktuSementara 
 Satu kata 
 Satu tatapan 
 Satu kecupan 
 Uapnya masih begitu hangat di dada–Imanku berkata 
 Bahwa setiap manusiamemiliki buku kehidupannya sendiriyang menoreh episode per episodenya–Di waktu yang kupanggil setengah malam 
 Ingin ku lontarkan tanya 
 Apakah perpisahan juga memiliki bukunya sendiri ? 
 Atau setidaknya sebuah catatan kaki 
 Yang menegaskan 
 Kau dan aku 
 Harus saling melepaskan diri 
 Saling mengucapkan selamat tinggal 
 Kemudian diakhiri saling melupakan–Kaudan 
 Aku 
  
 "
"Gadis Cemaraku 
 Oleh AR Sharmadi 
  
 Gadis cemara 
 Aku mencintaimu dengan sisa nafas yang terbuang 
 Kulihat cinta dalam dirimu 
 Aku tak mengiba kepadamu untuk mencintaiku juga 
 Namun hati menjerit dan jiwa berteriak 
 Laksana atom memecah kesunyian 
  
 Masih dengan petanyaan yang sama 
 Apakah kau sudah mengerti tentang 
 Cinta dan merasakan kepedihannya ? 
  
 Sungguh tanya yang bodoh terucap 
 Dari sela bibirku 
  
 Menggertarkan rahang mengata bahwa 
 Aku tergila-gila padamu 
  
 Untuk sosok yang menerangi gelapku 
 Ku kiblatkan cinta padamu 
 Kecewa dan luka yang kau beri dan 
 Hadiahkan untukku 
  
 Derita yang menyeringai garang menertawakanku 
 Semua kubungkus indah dalam wadah cinta 
 Satu harap kebencian yang selalu kutunggu 
 Senyum di seulas bibir manismu yang 
 Merekkah untukku 
  
 Gadis Cemara yang kukasihi 
  
 ",,,"Gadis Cemaraku 
 Oleh AR Sharmadi 
  
 Gadis cemara 
 Aku mencintaimu dengan sisa nafas yang terbuang 
 Kulihat cinta dalam dirimu 
 Aku tak mengiba kepadamu untuk mencintaiku juga 
 Namun hati menjerit dan jiwa berteriak 
 Laksana atom memecah kesunyian 
  
 Masih dengan petanyaan yang sama 
 Apakah kau sudah mengerti tentang 
 Cinta dan merasakan kepedihannya ? 
  
 Sungguh tanya yang bodoh terucap 
 Dari sela bibirku 
  
 Menggertarkan rahang mengata bahwa 
 Aku tergila-gila padamu 
  
 Untuk sosok yang menerangi gelapku 
 Ku kiblatkan cinta padamu 
 Kecewa dan luka yang kau beri dan 
 Hadiahkan untukku 
  
 Derita yang menyeringai garang menertawakanku 
 Semua kubungkus indah dalam wadah cinta 
 Satu harap kebencian yang selalu kutunggu 
 Senyum di seulas bibir manismu yang 
 Merekkah untukku 
  
 Gadis Cemara yang kukasihi 
  
 "
"Detik dalam hidup.. tak usap tanpa kehadiranmu.. 
 Perjalanan kini tersendat bila tanpamu.. kasih…. Berikan aku satu kenangan untuk ku simpan dalam kehidupan.. 
 Resapan kalbu.. bak embun tak henti menyinari bunga hati dalam pagi.. 
 Masih teringat jelas saat aku masih bersamamu.. 
 Saat kita tertunduk malu pada seebatang bunga layu yang menatap kita.. 
 Menginjakan kaki berusaha menghindar dari sinaran mentari.. 
 Yang seakan-akan mengikuti langkahan bayangan kita.. 
 Masih ragu dalam genggaman.. 
 Berusaha tuk mengiyakan semua yang aku minta.. 
 Hingga aku tak mampu pada akhir lanjutan kisah-kasih kita dimasa berseragam.. 
 Kau pergi dengan hati yang riang.. 
 Aku bahagia dalam kecewa.. kucoba berusaha untuk mengiklaskan.. 
 Namun apa yang aku rasakan telah memuncakan pada ego.. 
 Hingga air mata ini tak henti bermunculan dari seketup kelopak mataku.. 
 Aku tak membelah dalam hancur namun ku tatap cita dalam masa.. 
 Ku balut luka dalam tawa.. 
 Ku basuh mimpi dengan puisi..TEMANGGUNG, 06 MARET 2014Pukul.10:47 WIB 
  
 ",SAAT AKU MASIH BERSAMAMU,Oleh Izur Mf,"SAAT AKU MASIH BERSAMAMU 
 Oleh Izur Mf 
  
 Detik dalam hidup.. tak usap tanpa kehadiranmu.. 
 Perjalanan kini tersendat bila tanpamu.. kasih…. Berikan aku satu kenangan untuk ku simpan dalam kehidupan.. 
 Resapan kalbu.. bak embun tak henti menyinari bunga hati dalam pagi.. 
 Masih teringat jelas saat aku masih bersamamu.. 
 Saat kita tertunduk malu pada seebatang bunga layu yang menatap kita.. 
 Menginjakan kaki berusaha menghindar dari sinaran mentari.. 
 Yang seakan-akan mengikuti langkahan bayangan kita.. 
 Masih ragu dalam genggaman.. 
 Berusaha tuk mengiyakan semua yang aku minta.. 
 Hingga aku tak mampu pada akhir lanjutan kisah-kasih kita dimasa berseragam.. 
 Kau pergi dengan hati yang riang.. 
 Aku bahagia dalam kecewa.. kucoba berusaha untuk mengiklaskan.. 
 Namun apa yang aku rasakan telah memuncakan pada ego.. 
 Hingga air mata ini tak henti bermunculan dari seketup kelopak mataku.. 
 Aku tak membelah dalam hancur namun ku tatap cita dalam masa.. 
 Ku balut luka dalam tawa.. 
 Ku basuh mimpi dengan puisi..TEMANGGUNG, 06 MARET 2014Pukul.10:47 WIB 
  
 "
"Ya Allah... 
 Begitu banyak dosaku kepadamu 
 Dosaku kepada orangtuaku 
 Dosa-dosa yang membuatku tersiksa 
 Apakah dosa itu bisa diampuni??? 
 Tapi aku tahu Engkau maha pengampun 
 Ya Allah... 
 Jangan ambil nyawaku dulu 
 Sebelum aku bisa berbuat baik 
 Kepada orangtuaku dan orang-orang disekitarku 
 Ya Allah... 
 Begitu banyak dosaku kepadamu 
 Karena aku sering tidak mengejakan perintahMU 
 Tapi aku akan memperbaikinya 
 Ya Allah bolehkah aku masuk surgaMU 
  
 ",YA ALLAH,Oleh Januar Saulandri,"YA ALLAH 
 Oleh Januar Saulandri 
  
 Ya Allah... 
 Begitu banyak dosaku kepadamu 
 Dosaku kepada orangtuaku 
 Dosa-dosa yang membuatku tersiksa 
 Apakah dosa itu bisa diampuni??? 
 Tapi aku tahu Engkau maha pengampun 
 Ya Allah... 
 Jangan ambil nyawaku dulu 
 Sebelum aku bisa berbuat baik 
 Kepada orangtuaku dan orang-orang disekitarku 
 Ya Allah... 
 Begitu banyak dosaku kepadamu 
 Karena aku sering tidak mengejakan perintahMU 
 Tapi aku akan memperbaikinya 
 Ya Allah bolehkah aku masuk surgaMU 
  
 "
